ref;name;brand;category;description;photoFile;price;aLaUne;new
lgw001;LG G Watch W100 Noir;LG;watch;Toujours avec vous, toujours allumée.Avec son magnifique écran en couleurs, sa finesse, son design épuré et sophistiqué et sa batterie haute capacité, la LG G Watch W100 va vous permettre d'allier confort et style tout au long de votre journée.La G Watch peut être appairée à n'importe quel smartphone Android (à partir d'Android 4.3).;lgWatchW100.jpg;199.95;0;0
sw001;Samsung Bracelet Fit M;Samsung;watch;Accordez votre Galaxy Gear Fit à votre humeur. Rendez votre Galaxy Gear Fit encore plus brillante, ou égayez là avec une dose de fun selon les couleurs. Le bracelet Samsung Bracelet Fit M vous permet d'accorder votre montre Samsung à votre style, vos soirées, ou encore votre humeur. Un ajout indéniable pour votre style.;samsungBraceletFitM.jpg;24.90;0;0
sw002;Samsung Galaxy Gear Fit;Samsung;watch;Le meilleur moyen de rester connecté. Réinventez votre quotidien grâce à la montre connectée Samsung Galaxy Gear Fit. Notifications, appels manqués, SMS, MMS ou emails, plus rien ne vous échappe et vous restez plus connecté que jamais ! Les applications dédiées, l'écran tactile 1.84" Super AMOLED et les services Samsung vont révolutionner votre façon de communiquer.;samsungGalaxyGearFit.jpg;104.95;1;1
a0001;Acer Liquid E600;Acer;mobile;L'Acer Liquid E600 a tout du phablet idéal : un grand écran tout en restant compact, ultra performant et design. Prévu pour toutes les utilisations, il vous garantit une expérience riche, en photo, vidéo, musique ou même en jeu grâce à la puissance de son processeur Qualcomm Snapdragon 400 Quad-Core cadencé à 1.2 GHz, et de ses deux haut-parleurs. Dôté d'un écran IPS 5", vous allez profiter de vos photos et du web sur un bel écran lumineux. L'utilisation d'un smartphone n'a jamais été aussi simple !;acerLiquidE600.jpg;149;0;0
a0002;Acer Liquid Jade;Acer;mobile;L'Acer Liquid Jade a tout du smartphone idéal : un grand écran tout en restant compact, ultra performant et design. Prévu pour toutes les utilisations, il vous garantit une expérience riche, en photo, vidéo, musique ou même en jeu grâce à la puissance de son processeur ARM Cortex-A7 Quad Core cadencé à 1.3 GHz, et de ses deux haut-parleurs. Dôté d'un écran 5", vous profitez de vos photos et du web sur un bel écran lumineux alors qu'avec les deux ports pour carte SIM vous allez pouvoir conjuguer facilement vie privée et vie personnelle. Avec le Acer Liquid Jade, l'utilisation d'un smartphone n'a jamais été aussi simple !;acerLiquidJadeS.jpg;199;1;1
al001;Alcatel One Touch Idol 2S;Alcatel;mobile;Avec le smartphone Alcatel One Touch Idol 2S, profitez d'un téléphone intelligent au meilleur prix. Vous serez surpris par son écran de 5", idéal pour regarder vos vidéos, jouer à vos jeux favoris et surfer sur le web avec un confort absolu. Sous Jelly Bean (Android 4.3), il se sert de son processeur Qualcomm Snapdragon 400 Quad-Core cadencé à 1.2 GHz et de 1 Go de RAM pour vous offrir une expérience fluide et rapide. De plus, il dispose d'un appareil photo de 8 MP avec caméra frontale de 1.3 MP, d'un design sobre et d'une connectivité Wi-Fi 802.11 b/g/n et Bluetooth 4.0";alcatelOneTouchIdol2S.jpg;219.95;1;1
ap0001;Apple iPhone 6;Apple;mobile;Plus grand, plus large, plus fin et plus puissant, voilà comment définir l'Apple iPhone 6. Chaque détail, chaque aspect matériel a été méticuleusement pensé et optimisé pour vous offrir le smartphone parfait. Agréable au toucher, le verre de l'écran 4.7" de l'iPhone 6 s'incurve sur les côtés pour épouser le boîtier en aluminium anodisé et ainsi donner une surface douce et continue. Conçue sur une architecture 64 bits, la nouvelle puce A8 offre davantage de puissance, tout en gérant un écran plus grand. Et grâce à une autonomie prolongée, l'iPhone 6 vous permet d'en faire plus, plus longtemps ! Redessinée, affûtée, perfectionnée, avec l'iPhone 6, une nouvelle génération d'iPhone est née !;appleIphone6.jpg;709.95;1;1
d0001;Doro Liberto 820;Sdoro;mobile;Le Doro Liberto 820 est un smartphone classique avec toutes les fonctionnalités attendues mais de façon beaucoup plus simple. Depuis l'écran d'accueil, accédez directement aux principaux contacts et aux principales fonctions avec la possibilité d'obtenir une aide "pas à pas" avec un assistant intégré. Le design élégant qui offre une bonne prise en main est aussi étudié pour éviter les rayures sur l'écran lorsqu'il est posé (sur une table). La touche d'assistance vous offre une plus grande sécurité. Vous pouvez également ajouter des applications via Google Play et gérer facilement vos paramêtres et votre contenu à distance.;doroLiberto820.jpg;239.95;0;0
h0001;HTC Desire 310;HTC;mobile;Le Smartphone HTC Desire 310 est un élégant smartphone en harmonie parfaite avec votre style personnel et qui vous permet de rester connecté où que vous soyez. Ce smartphone 4.5" est propulsé par un processeur ARM Cortex-A7 Quad-Core cadencé à 1,3 GHz et 1 Go de RAM. Il est également équipé d'un appareil photo 5MP et d'une connectivité complète avec notamment le support de la 3G+.;htcDesire310.jpg;129.90;1;0
h0002;HTC One M8;HTC;mobile;Le nouveau HTC One (M8), tout en aluminium, a été admirablement conçu et est aussi agréable à prendre en main qu'à utiliser. Sa coque monobloc en aluminium enveloppe l'écran avec ses lignes harmonieuses et ses bords arrondis. Avec son profil fin, incurvé et sa finition en aluminium brossé, le HTC One M8 est un magnifique smartphone qui se loge parfaitement dans le creux de votre main. Bien plus qu'un simple objet design, il est équipé des technologies dernier cri, et se révèle aussi performant à l'intérieur que beau à l'extérieur.;htcOneM8.jpg;549;1;1
